a longhorn cow with horns standing in a field
two bulls standing next to each other
two bulls with horns standing next to each other	 
two bulls with horns standing next to each other	 
two bulls with horns standing next to each other	 
two bulls with horns standing next to each other	 
two bulls with horns standing next to each other	 
two bulls with horns standing next to each other	 
two bulls with horns standing next to each other	 
two bulls with horns standing next to each other	 
a couple of bulls standing next to each other
a couple of bulls standing next to each other
two long horn bulls standing next to each other	 
two long horn bulls standing next to each other	 
two long horn bulls standing next to each other 
two long horn bulls standing next to each other
two long horn bulls standing next to each other	
two long horn bulls standing next to each other
two long horn bulls standing next to each other
two long horn bulls standing next to each other
